,datetime,description,icon
0,2025-07-29,Clear conditions throughout the day.,clear-day
1,2025-07-30,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
2,2025-07-31,Partly cloudy throughout the day with a chance of rain.,rain
3,2025-08-01,Partly cloudy throughout the day with a chance of rain.,rain
4,2025-08-02,Clear conditions throughout the day.,clear-day
5,2025-08-03,Clear conditions throughout the day.,clear-day
6,2025-08-04,Clear conditions throughout the day.,clear-day
7,2025-08-05,Partly cloudy throughout the day.,partly-cloudy-day
