,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-07-29,32.3,23.3,27.4,33.4,23.3,28.2,19.9,65.6,0.0,1.0,0.0,,0,0,27.7,16.6,260.2,1013.7,15.5,16.1,476.0,41.2,9,30,2025-07-29T05:34:07,2025-07-29T20:06:49,0.16,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,KBED,0518W,KBOS"
1,"Boston, MA, United States",2025-07-30,28.4,21.7,25.0,29.5,21.7,25.3,18.3,66.8,0.1,41.0,4.17,rain,0,0,27.7,14.8,151.1,1014.8,26.8,16.3,312.5,27.0,9,30,2025-07-30T05:35:07,2025-07-30T20:05:43,0.19,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
2,"Boston, MA, United States",2025-07-31,23.9,19.1,20.6,23.9,19.1,20.6,17.1,80.6,0.0,57.0,0.0,rain,0,0,27.7,18.4,42.2,1018.9,76.7,15.1,71.4,6.2,2,10,2025-07-31T05:36:07,2025-07-31T20:04:36,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
3,"Boston, MA, United States",2025-08-01,19.9,17.7,18.6,19.9,17.7,18.6,14.4,76.4,0.0,64.0,0.0,rain,0,0,31.3,19.1,41.6,1023.4,64.4,20.8,161.5,13.9,5,10,2025-08-01T05:37:08,2025-08-01T20:03:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
4,"Boston, MA, United States",2025-08-02,24.4,16.0,20.2,24.4,16.0,20.2,11.7,59.5,0.1,20.0,4.17,rain,0,0,21.6,13.3,52.9,1023.0,6.2,24.1,337.4,29.0,8,10,2025-08-02T05:38:09,2025-08-02T20:02:17,0.29,Clear,Clear conditions throughout the day.,clear-day,
5,"Boston, MA, United States",2025-08-03,27.4,17.2,22.4,27.2,17.2,22.3,12.6,55.1,0.4,2.0,8.33,rain,0,0,21.2,12.6,218.9,1020.5,4.0,24.1,332.3,28.7,8,10,2025-08-03T05:39:11,2025-08-03T20:01:05,0.32,Clear,Clear conditions throughout the day.,clear-day,
6,"Boston, MA, United States",2025-08-04,27.6,18.9,23.2,27.5,18.9,23.2,13.8,56.4,0.5,4.0,4.17,rain,0,0,21.2,14.0,202.9,1020.9,14.8,24.1,289.0,24.9,7,10,2025-08-04T05:40:13,2025-08-04T19:59:51,0.35,Clear,Clear conditions throughout the day.,clear-day,
7,"Boston, MA, United States",2025-08-05,26.1,19.3,22.8,26.1,19.3,22.8,14.4,59.6,0.0,25.8,0.0,,0,0,21.6,13.7,170.5,1024.4,31.9,24.1,258.1,22.3,6,10,2025-08-05T05:41:15,2025-08-05T19:58:36,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
