,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-07-28,27.9,18.8,23.1,29.5,18.8,23.3,19.7,82.7,0.0,0,0.0,,0,0,22.3,20.3,100.0,1014.4,47.6,11.4,676.2,58.3,8,10,2025-07-28T05:33:07,2025-07-28T20:07:53,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
1,"Boston, MA, United States",2025-07-29,36.7,23.3,29.9,38.5,23.3,30.9,19.5,57.8,0.0,0,0.0,,0,0,37.1,24.0,253.4,1013.7,31.1,16.0,626.8,53.9,8,30,2025-07-29T05:34:07,2025-07-29T20:06:49,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
2,"Boston, MA, United States",2025-07-30,28.4,23.8,26.2,29.8,23.8,26.7,18.5,62.8,0.0,13,0.0,,0,0,22.3,16.2,113.1,1014.1,30.2,15.3,526.2,45.5,9,10,2025-07-30T05:35:07,2025-07-30T20:05:43,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
3,"Boston, MA, United States",2025-07-31,25.0,18.9,20.8,25.0,18.9,20.8,16.9,78.7,10.7,61,37.5,rain,0,0,29.5,18.4,43.3,1018.8,66.7,13.0,172.3,14.7,5,10,2025-07-31T05:36:07,2025-07-31T20:04:36,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
4,"Boston, MA, United States",2025-08-01,18.7,16.7,17.6,18.7,16.7,17.6,14.9,84.3,22.7,61,54.17,rain,0,0,33.5,22.3,47.8,1022.6,76.6,16.3,125.5,10.8,4,10,2025-08-01T05:37:08,2025-08-01T20:03:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
5,"Boston, MA, United States",2025-08-02,23.4,16.7,20.0,23.4,16.7,20.0,12.6,63.8,0.1,30,4.17,rain,0,0,23.4,14.4,65.2,1022.5,11.4,19.2,334.9,28.9,8,10,2025-08-02T05:38:09,2025-08-02T20:02:17,0.29,Clear,Clear conditions throughout the day.,clear-day,
6,"Boston, MA, United States",2025-08-03,27.8,17.6,22.7,27.5,17.6,22.6,13.2,56.4,0.4,1,8.33,rain,0,0,21.6,13.0,217.5,1019.6,2.7,24.1,329.0,28.6,8,10,2025-08-03T05:39:11,2025-08-03T20:01:05,0.32,Clear,Clear conditions throughout the day.,clear-day,
7,"Boston, MA, United States",2025-08-04,28.5,19.5,24.1,28.3,19.5,24.0,14.6,56.5,0.5,1,4.17,rain,0,0,21.6,13.7,201.8,1019.8,18.3,24.1,319.6,27.7,8,10,2025-08-04T05:40:13,2025-08-04T19:59:51,0.35,Clear,Clear conditions throughout the day.,clear-day,
