,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-07-07,31.7,22.8,26.7,34.3,22.8,28.3,21.2,72.3,0.009,100,4.17,rain,0,0,46.2,31.2,214.1,1014.7,62.6,16.0,719.2,62.0,8,,2025-07-07T05:15:06,2025-07-07T20:23:13,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-07-08,33.8,21.2,27.8,37.3,21.2,29.2,21.4,70.9,0.458,100,8.33,rain,0,0,38.8,23.5,259.3,1013.4,83.3,15.8,549.4,47.4,9,,2025-07-08T05:15:47,2025-07-08T20:22:49,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-07-09,21.8,18.9,20.0,21.8,18.9,20.0,18.8,92.8,9.784,100,45.83,rain,0,0,,20.1,67.2,1016.1,97.7,12.4,513.2,44.4,8,,2025-07-09T05:16:29,2025-07-09T20:22:23,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-07-10,19.4,17.9,18.7,19.4,17.9,18.7,17.8,94.8,36.572,100,50.0,rain,0,0,,22.1,42.7,1016.0,100.0,10.4,616.2,53.4,8,,2025-07-10T05:17:13,2025-07-10T20:21:55,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-07-11,23.8,17.3,20.3,23.8,17.3,20.3,18.1,87.8,0.005,100,4.17,rain,0,0,,20.2,109.6,1017.1,96.1,12.6,477.8,41.3,9,,2025-07-11T05:17:58,2025-07-11T20:21:25,0.53,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-07-12,24.4,20.6,22.0,24.4,20.6,22.0,19.1,84.2,0.0,0,0.0,,0,0,,31.2,131.5,1019.1,63.7,15.4,622.5,53.3,8,,2025-07-12T05:18:44,2025-07-12T20:20:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-07-13,25.0,19.4,21.8,25.0,19.4,21.8,18.8,83.4,0.0,0,0.0,,0,0,37.1,27.1,133.0,1019.4,59.4,16.0,614.2,53.1,7,,2025-07-13T05:19:31,2025-07-13T20:20:19,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-07-14,27.8,20.0,24.0,30.5,20.0,24.5,20.3,79.9,0.0,0,0.0,,0,0,31.7,23.8,201.0,1017.7,84.7,16.0,695.4,60.3,8,,2025-07-14T05:20:20,2025-07-14T20:19:43,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
