,datetime,description,icon
0,2025-07-07,Partly cloudy throughout the day with afternoon rain.,rain
1,2025-07-08,Partly cloudy throughout the day with late afternoon rain.,rain
2,2025-07-09,Cloudy skies throughout the day with rain.,rain
3,2025-07-10,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
4,2025-07-11,Cloudy skies throughout the day with late afternoon rain.,rain
5,2025-07-12,Partly cloudy throughout the day.,partly-cloudy-day
6,2025-07-13,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-07-14,Partly cloudy throughout the day.,partly-cloudy-day
