,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-07-14,27.8,20.0,24.0,30.5,20.0,24.5,20.3,79.9,0.0,0,0.0,,0,0,31.7,23.8,201.0,1017.7,84.7,16.0,695.4,60.3,8,,2025-07-14T05:20:20,2025-07-14T20:19:43,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-07-15,30.0,23.3,26.5,33.5,23.3,27.9,22.1,77.6,0.024,100,12.5,rain,0,0,27.7,23.8,185.7,1016.9,67.0,16.0,686.2,59.4,8,,2025-07-15T05:21:09,2025-07-15T20:19:05,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-07-16,34.9,22.2,27.3,37.6,22.2,28.9,22.0,74.6,0.0,0,0.0,,0,0,31.7,25.4,185.4,1015.4,33.9,15.9,636.2,55.1,7,,2025-07-16T05:22:00,2025-07-16T20:18:24,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-07-17,32.2,22.3,28.0,35.9,22.3,30.4,22.6,74.3,0.0,0,0.0,,0,0,60.5,41.8,210.6,1009.1,68.5,16.0,700.6,60.6,8,,2025-07-17T05:22:51,2025-07-17T20:17:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-07-18,29.3,19.9,24.6,30.3,19.9,24.6,14.6,54.5,0.0,0,0.0,,0,0,51.6,32.9,301.7,1013.7,42.1,16.0,662.0,57.3,10,,2025-07-18T05:23:43,2025-07-18T20:16:58,0.78,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-07-19,30.6,18.1,22.7,29.4,18.1,22.7,14.3,60.2,0.0,0,0.0,,0,0,40.7,29.1,152.9,1017.8,30.6,16.0,629.2,54.5,9,,2025-07-19T05:24:36,2025-07-19T20:16:12,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-07-20,30.0,21.7,24.7,33.1,21.7,25.5,20.3,76.9,3.734,100,12.5,rain,0,0,42.5,28.8,208.6,1009.5,78.4,15.5,525.1,45.4,8,,2025-07-20T05:25:30,2025-07-20T20:15:24,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-07-21,26.1,19.2,22.6,26.1,19.2,22.6,12.1,55.0,1.329,100,4.17,rain,0,0,48.6,33.1,321.0,1011.0,31.5,16.0,455.1,39.1,8,,2025-07-21T05:26:25,2025-07-21T20:14:34,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
