,datetime,description,icon
0,2025-07-14,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-07-15,Partly cloudy throughout the day with rain clearing later.,rain
2,2025-07-16,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2025-07-17,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-07-18,Clearing in the afternoon.,partly-cloudy-day
5,2025-07-19,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2025-07-20,Partly cloudy throughout the day with late afternoon rain.,rain
7,2025-07-21,Partly cloudy throughout the day with morning rain.,rain
