,datetime,description,icon
0,2025-07-21,Partly cloudy throughout the day with morning rain.,rain
1,2025-07-22,Becoming cloudy in the afternoon.,partly-cloudy-day
2,2025-07-23,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-07-24,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-07-25,Partly cloudy throughout the day with rain.,rain
5,2025-07-26,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2025-07-27,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
7,2025-07-28,Partly cloudy throughout the day.,partly-cloudy-day
